Screaming Circuits SMD component position file.

Centroid Data for pc board: "board.brd" as of: 2/10/2009 5:21:59 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.860,0.090,90
C2,Bottom,0.361,0.090,270
C3,Top,0.270,0.665,0
C4,Top,0.720,1.440,0
C5,Bottom,1.010,0.940,90
C6,Bottom,0.830,0.800,0
C7,Bottom,0.830,0.720,0
C8,Bottom,0.980,0.570,270
C9,Bottom,0.710,0.610,180
C10,Bottom,0.700,0.760,90
C11,Bottom,0.590,0.870,180
C12,Top,0.380,0.985,90
C13,Bottom,0.420,0.760,90
C14,Bottom,0.330,0.590,270
C15,Bottom,0.400,0.250,0
C16,Bottom,0.570,0.370,270
C17,Bottom,0.630,0.760,90
C18,Bottom,0.490,0.760,90
C19,Bottom,0.410,0.870,180
C20,Bottom,0.290,0.480,0
C21,Bottom,0.500,0.370,270
C22,Bottom,0.570,0.230,270
C24,Top,1.160,0.610,0
C25,Top,1.160,0.690,0
C26,Top,0.930,0.420,270
C27,Top,1.000,0.420,270
C28,Top,1.160,0.460,0
C29,Top,1.160,0.540,0
J1,Top,0.143,1.288,90
J2,Top,1.107,0.212,270
P1,Bottom,0.143,1.288,270
P2,Bottom,1.107,0.212,90
R1,Bottom,0.430,0.370,270
R2,Bottom,0.486,0.082,90
R3,Top,1.160,0.780,180
R5,Top,1.040,0.750,90
R6,Top,1.040,0.860,180
R7,Top,0.980,0.920,0
TP1,Top,0.040,0.410,0
TP2,Top,0.030,0.310,0
TP3,Top,0.030,0.200,0
TP4,Top,1.120,1.240,0
TP5,Top,0.960,1.410,0
U$1,Top,0.660,0.225,180
U$2,Bottom,1.020,0.760,0
U$3,Bottom,0.520,0.565,270
U$4,Bottom,0.560,0.760,90
U$5,Top,0.380,1.330,90
U$6,Bottom,0.350,0.760,90
U$7,Bottom,0.680,0.320,90
U$8,Top,0.725,0.680,180
U$9,Top,0.315,0.415,90
U$10,Bottom,0.665,0.080,90
U$11,Top,0.855,1.215,0
U$12,Top,1.180,0.840,0
U$13,Top,1.180,0.940,0
U$14,Top,1.180,0.890,0
U$15,Top,1.180,0.990,0
